url,last_modified,title
https://finance.yahoo.com/video/deandre-ayton-175211732.html,2018-10-28T17:52:11Z,deandre ayton 175211732
https://finance.yahoo.com/video/klay-thompson-175139900.html,2018-10-28T17:51:39Z,klay thompson 175139900
https://finance.yahoo.com/video/giannis-antetokounmpo-175101225.html,2018-10-28T17:51:01Z,giannis antetokounmpo 175101225
https://finance.yahoo.com/news/lebron-james-cavaliers-players-react-tyronn-lues-firing-174955529.html,2018-10-28T17:49:55Z,lebron james cavaliers players react tyronn lues firing 174955529
https://finance.yahoo.com/news/ally-financial-sponsor-jimmie-johnson-2019-2020-174735677.html,2018-10-28T17:47:35Z,ally financial sponsor jimmie johnson 2019 2020 174735677
https://finance.yahoo.com/video/jrue-holiday-174505858.html,2018-10-28T17:45:05Z,jrue holiday 174505858
https://finance.yahoo.com/video/draymond-green-174421892.html,2018-10-28T17:44:21Z,draymond green 174421892
https://finance.yahoo.com/news/van-riel-dives-european-cup-triathlon-victory-173754516.html,2018-10-28T17:37:54Z,van riel dives european cup triathlon victory 173754516
https://finance.yahoo.com/video/russell-westbrook-173010933.html,2018-10-28T17:30:10Z,russell westbrook 173010933
https://finance.yahoo.com/video/nikola-jokic-172940972.html,2018-10-28T17:29:40Z,nikola jokic 172940972
https://finance.yahoo.com/news/steelers-hold-moment-silence-kickoff-remember-saturdays-tragedy-172834015.html,2018-10-28T17:28:34Z,steelers hold moment silence kickoff remember saturdays tragedy 172834015
https://finance.yahoo.com/video/report-lesean-mccoy-not-likely-172806335.html,2018-10-28T17:28:06Z,report lesean mccoy not likely 172806335
https://finance.yahoo.com/video/report-lesean-mccoy-not-likely-172751486.html,2018-10-28T17:27:51Z,report lesean mccoy not likely 172751486
https://finance.yahoo.com/video/kawhi-leonard-172714099.html,2018-10-28T17:27:14Z,kawhi leonard 172714099
https://finance.yahoo.com/video/karl-anthony-towns-172634099.html,2018-10-28T17:26:34Z,karl anthony towns 172634099
https://finance.yahoo.com/video/rudy-gobert-172558644.html,2018-10-28T17:25:58Z,rudy gobert 172558644
https://finance.yahoo.com/video/victor-oladipo-172505442.html,2018-10-28T17:25:05Z,victor oladipo 172505442
https://finance.yahoo.com/video/damian-lillard-172234693.html,2018-10-28T17:22:34Z,damian lillard 172234693
https://finance.yahoo.com/video/kevin-durant-172146023.html,2018-10-28T17:21:46Z,kevin durant 172146023
https://finance.yahoo.com/video/paul-george-172106796.html,2018-10-28T17:21:06Z,paul george 172106796
https://finance.yahoo.com/video/stephen-curry-172025648.html,2018-10-28T17:20:25Z,stephen curry 172025648
https://finance.yahoo.com/video/questionable-call-blake-bortles-fans-171520944.html,2018-10-28T17:15:20Z,questionable call blake bortles fans 171520944
https://finance.yahoo.com/video/report-tyronn-lue-fired-cavaliers-170702917.html,2018-10-28T17:07:02Z,report tyronn lue fired cavaliers 170702917
https://finance.yahoo.com/video/report-tyronn-lue-fired-cavaliers-170616346.html,2018-10-28T17:06:16Z,report tyronn lue fired cavaliers 170616346
https://finance.yahoo.com/video/report-tyronn-lue-fired-cavaliers-170601361.html,2018-10-28T17:06:01Z,report tyronn lue fired cavaliers 170601361
https://finance.yahoo.com/news/bad-phantom-personal-foul-hit-blake-bortles-shows-nfls-issue-many-penalties-170216237.html,2018-10-28T17:02:16Z,bad phantom personal foul hit blake bortles shows nfls issue many penalties 170216237
https://finance.yahoo.com/video/2-tickets-win-688-million-165757331.html,2018-10-28T16:57:57Z,2 tickets win 688 million 165757331
